Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Masstel,Masstel Juno S6,Masstel_Juno_S6,1862MB,Phone,Mediatek MT6737T,1080x1920,480,armeabi-v7a;armeabi,24,3.1
Masstel,LT52,Masstel_LT52,901MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Masstel,N535,Masstel_N535,925MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,24,2
Masstel,Masstel_Tab10,Masstel_Tab10,956MB,Tablet,Mediatek MT6580,800x1280,160,armeabi-v7a;armeabi,24,2
Masstel,Tab7LTE,Masstel_Tab7LTE,906MB,Phone,Mediatek MT8735M,600x1024,213,armeabi-v7a;armeabi,24,3.1
Masstel,Masstel Tab8,Masstel_Tab8,953MB,Phone,Mediatek MT8321,800x1280,240,armeabi-v7a;armeabi,24,2
MTT,Master,Master,818MB,Phone,Qualcomm MSM8225Q,540x960,240,armeabi-v7a;armeabi,16,2
Essential Products,PH-1,mata,3720-3726MB,Phone,Qualcomm MSM8998,1312x2560,480,arm64-v8a;armeabi-v7a;armeabi,25;27;28,3.2
DO Mobile,Mate1,Mate1,1816MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Samsung,Galaxy Tab4 10.1,matisse10wifikx,1929MB,Tablet,Samsung Exynos 7870,1280x800,160,armeabi-v7a;armeabi,23,3
Samsung,Galaxy Tab4 10.0,matisse3g,1369-1376MB,Tablet,Qualcomm MSM8226,1280x800,160,armeabi-v7a;armeabi,19;21,3
Samsung,Galaxy Tab4 10.0,matisselte,1353-1359MB,Tablet,Qualcomm MSM8926,1280x800,160,armeabi-v7a;armeabi,19;21,3
Samsung,Galaxy Tab4 10.0,matisselteatt,1354-1359MB,Tablet,Qualcomm MSM8926,1280x800,160,armeabi-v7a;armeabi,19;22,3
Samsung,Galaxy Tab4 10.0,matisselteusc,1353-1359MB,Tablet,Qualcomm MSM8926,1280x800,160,armeabi-v7a;armeabi,19;22,3
Samsung,Galaxy Tab4 10.0,matisseltevzw,1354MB,Tablet,Qualcomm MSM8926,1280x800,160,armeabi-v7a;armeabi,19;22,3
Samsung,Galaxy Tab4 10.1,matissevewifi,1428-1429MB,Tablet,Qualcomm APQ8016,1280x800,160,armeabi-v7a;armeabi,19;22,3
Samsung,Galaxy Tab4 10.1,matissewifi,1407-1408MB,Tablet,Qualcomm APQ8026,1280x800,160,armeabi-v7a;armeabi,19;21,3
Samsung,Galaxy Tab4,matissewifigoogle,1407-1408MB,Tablet,Qualcomm APQ8026,1280x800,160,armeabi-v7a;armeabi,19;21,3
